Date,Open Interest,Producer/Merchant/ Processor/User Long,Producer/Merchant/ Processor/User Short,Swap Dealers Long,Swap Dealers short,Swap Dealers Spreading,Managed Money Long,Managed Money Short,Managed Money Spreading,Other Reportables Long,Other Reportables Short,Other Reportables Spreading,Nonreportable Positions Long,Nonreportable PositionsShort
4/2/2024,520213,261032,265880,41358,67271,44966,25288,1643,40529,6143,2794,94927,5970,2203
3/26/2024,515192,260251,266834,40043,66116,43522,28359,2195,39730,5582,2868,89317,8388,4610
3/19/2024,474959,236769,250476,31174,62555,39137,39478,1374,38998,7396,3965,76848,5159,1606
3/12/2024,470801,236221,247986,31286,67985,36263,43160,734,37528,7884,5250,72910,5549,2145
3/5/2024,472928,237718,251678,30928,69018,34001,44825,913,38228,9956,4852,71768,5504,2470
2/27/2024,621614,300862,322545,33451,69619,60912,50056,2824,51862,11836,4680,107356,5279,1816
2/20/2024,613454,297122,338604,35197,60983,58635,56056,1877,48412,15246,5271,97259,5527,2413
2/13/2024,619035,307704,350183,33892,59886,56264,56955,2485,46060,15798,5773,96036,6326,2348
2/6/2024,588416,291525,352564,34287,47980,55867,63863,3409,37877,16458,6150,81746,6793,2823
1/30/2024,546845,272152,336012,33355,47315,52262,66985,3615,29329,16764,5788,69924,6074,2600
1/23/2024,531239,268993,335651,30134,44231,48125,68913,3218,28915,17559,5566,62974,5626,2559
1/16/2024,520832,265288,325010,24931,45810,45589,68188,2721,31678,16402,4848,62472,6284,2704
1/9/2024,528934,285479,301297,27747,85927,41125,62187,2773,32997,16450,5242,57035,5914,2538
1/2/2024,539344,294669,303468,22732,92164,43250,63568,2582,32544,17526,4198,58820,6235,2318
12/26/2023,535882,294158,304105,23196,89525,42302,62298,2597,31177,17675,4947,58820,6256,2409
12/19/2023,541647,303507,315954,24127,87228,42180,62910,2559,27935,17406,5708,57741,5841,2342
12/12/2023,538909,298381,309382,24035,87008,42261,64451,3852,29326,15590,5724,57111,7754,4245
12/5/2023,534508,299172,313678,25366,86901,39975,65645,3832,28946,16778,5719,52857,5769,2600
11/28/2023,618022,322315,352567,30901,78636,54725,66762,3931,36438,16281,5257,84711,5889,1757
11/21/2023,601302,308172,344411,31183,73856,52658,68608,3614,36954,16575,5780,81971,5181,2058
11/14/2023,594944,306584,341837,30511,73295,52120,71466,3910,34375,13707,6375,81585,4596,1447
11/7/2023,579261,299687,331556,28929,72968,50089,69922,3568,36675,12073,6153,76655,5231,1597
10/31/2023,561568,292565,323134,27204,73311,48733,71152,3850,30468,10696,5550,74968,5782,1554
10/24/2023,551656,292068,319169,26079,75030,44370,71390,4028,29338,10737,5656,72501,5173,1564
10/17/2023,514446,271323,301817,25090,68078,43213,70060,3723,27666,9206,5916,61917,5971,2116
10/10/2023,496161,265407,289785,25908,67498,41441,64506,3867,23766,8120,6765,60992,6021,2047
10/3/2023,490251,260279,286654,27239,67501,41246,66102,3780,21589,8002,7345,60157,5637,1979
9/26/2023,482662,256531,291617,27336,61441,41432,67466,3908,19124,8238,6503,57124,5411,1513
9/19/2023,477939,255324,289943,25130,62404,40019,68629,3787,19351,9209,6454,54702,5575,1279
9/12/2023,471093,258568,285534,17179,62275,45099,70107,4127,15911,10279,7909,48313,5637,1925
9/5/2023,447607,248371,259380,10343,74514,38981,70672,4099,13925,11109,6442,48663,5543,1603
8/29/2023,497578,280666,297137,10742,67774,48171,68106,4027,15258,11499,5976,57565,5571,1670
8/22/2023,480016,264990,289916,13876,66033,45285,72280,3552,14862,10846,5373,53112,4765,1883
8/15/2023,476715,261749,290409,14427,67425,43507,74890,3510,14825,11564,4341,51170,4583,1528
8/8/2023,476434,250164,290945,16372,64661,44284,81478,3734,18421,11500,3369,49661,4554,1359
8/1/2023,478105,246565,291090,16080,66419,43942,84939,3821,19023,14325,3969,48423,4808,1418
7/25/2023,471970,238983,287359,19588,66166,41657,83487,4472,20676,15545,4022,46881,5153,737
